Title,Price,img_url
"From Crook to Cook: Platinum Recipes from Tha Boss Dogg's Kitchen (Snoop Dogg Cookbook,…",,"https://images-na.ssl-images-amazon.com/images/I/81paxLbonYL._AC_UL381_SR381,381_.jpg"
101 Things Every Young Athlete Should Know: Master Goal…,$12.79,"https://images-na.ssl-images-amazon.com/images/I/71Z3hK7y5ML._AC_UL381_SR381,381_.jpg"
My First Library: Boxset of 10 Board Books for Kids,$16.43,"https://images-na.ssl-images-amazon.com/images/I/711c-uf6AFL._AC_UL381_SR381,381_.jpg"
3-Minute Devotions for Men: 180 Encouraging Readings,,"https://images-na.ssl-images-amazon.com/images/I/81wn+Y-r2VL._AC_UL381_SR381,381_.jpg"
Good Lookin' Cookin': A Year of…,$14.78,"https://images-na.ssl-images-amazon.com/images/I/81qlpis8AFL._AC_UL381_SR381,381_.jpg"
Don't Let the Pigeon Drive the Sleigh!,$10.44,"https://images-na.ssl-images-amazon.com/images/I/71B6EAGotwL._AC_UL381_SR381,381_.jpg"
The Far Side® 2025 Off-the-Wall Day-to-Day Calendar,$15.87,"https://images-na.ssl-images-amazon.com/images/I/711D0SaMzjL._AC_UL127_SR127,127_.jpg"
How to Catch a Gingerbread Man,$6.02,"https://images-na.ssl-images-amazon.com/images/I/815FST9e4tL._AC_UL127_SR127,127_.jpg"
Ultimate Taylor Swift Sticker Mosaic Art: 13 Fearless Mosaic…,$9.55,"https://images-na.ssl-images-amazon.com/images/I/81hoJlZJQXL._AC_UL127_SR127,127_.jpg"
Guinness World Records 2025,$13.98,"https://images-na.ssl-images-amazon.com/images/I/81NAgO7BRhL._AC_UL127_SR127,127_.jpg"
